Id,MSSubClass,MSZoning,LotFrontage,LotArea,Paved,LotShape,LandContour,Utilities,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,Bath,SalePrice
24,200779,126316,44,4224,1,1,180183,1,179956,181959,175985,5,7,1976,1976,171483,179803,231690,230093,156221,0,1,3,225230,3,3,1,840,0,200,1040,2,1,0,1060,3,1,1,6,6,1,3,202892,1976,142156,2,572,3,187885,2,173401,175202,10,129900
25,185224,191004,69,8246,1,0,180183,1,179956,185763,175985,5,8,1968,2001,171483,179803,175942,168112,156221,0,1,2,149805,2,3,2,188,668,204,1060,4,1,0,1060,3,1,2,6,6,1,3,202892,1968,142156,1,270,3,187885,2,173401,175202,10,154000
26,185224,191004,110,14230,1,1,180183,1,179956,185763,175985,8,5,2007,2007,171483,179803,213732,214432,265583,640,2,3,225230,3,3,1,0,0,1566,1566,4,1,0,1600,3,1,2,7,6,1,4,202892,2007,202068,3,890,3,187885,2,173401,175202,20,256300
27,185224,191004,60,7200,1,1,180183,1,179956,185763,175985,5,7,1951,2000,171483,179803,149841,148386,156221,0,1,3,149805,2,3,2,234,486,180,900,2,1,0,900,3,1,2,5,6,0,1,134091,2005,142156,2,576,3,187885,2,173401,175202,10,134800
28,185224,191004,98,11478,1,1,180183,1,179956,185763,175985,8,5,2007,2008,171483,179803,213732,214432,265583,200,2,3,225230,4,3,1,1218,0,486,1704,4,1,0,1704,3,1,2,7,6,1,4,202892,2008,202068,3,772,3,187885,2,173401,175202,20,306000
29,185224,191004,47,16321,1,0,180183,1,179956,185763,175985,5,6,1957,1997,171483,179803,149422,149803,156221,0,1,3,149805,2,3,4,1277,0,207,1484,2,1,0,1600,2,1,1,6,6,2,4,202892,1957,202068,1,319,3,187885,2,173401,175202,10,207500
30,95829,126316,60,6324,1,0,180183,1,179956,185763,175985,4,6,1927,1950,171483,179803,149422,149803,156221,0,1,3,132291,2,3,1,0,0,520,520,1,0,0,520,1,1,0,4,6,0,1,134091,1920,142156,1,240,2,187885,2,173401,175202,10,68500
31,166772,74541,50,8500,1,1,180183,1,179956,185763,210051,4,4,1920,1950,148910,179803,194573,195817,156221,0,1,1,132291,2,3,1,0,0,649,649,2,0,668,1317,3,1,1,6,6,0,1,134091,1920,142156,1,250,3,114654,0,173401,175202,10,40000
32,185224,191004,69,8544,1,0,180183,1,179956,185763,175985,5,6,1966,2006,171483,179803,163077,167661,156221,0,1,3,149805,2,3,1,0,0,1228,1228,3,1,0,1228,3,1,2,6,6,0,1,202892,1966,142156,1,271,3,187885,2,173401,175202,15,149350
33,185224,191004,85,11049,1,1,180183,1,179956,185763,175985,8,5,2007,2007,171483,179803,213732,214432,156221,0,2,3,225230,4,3,3,0,0,1234,1234,4,1,0,1234,3,1,2,7,6,0,1,202892,2007,202068,2,484,3,187885,2,173401,175202,20,179900
34,185224,191004,70,10552,1,0,180183,1,179956,185763,175985,5,5,1959,1959,218876,179803,194573,195817,156221,0,1,3,149805,2,3,1,1018,0,380,1398,3,1,0,1700,4,1,2,6,6,1,4,202892,1959,202068,2,447,3,187885,2,173401,175202,15,165500
35,200779,191004,60,7313,1,1,180183,1,179956,181959,175985,9,5,2005,2005,218876,179803,149422,149803,204691,246,3,3,225230,4,3,1,1153,0,408,1561,4,1,0,1561,2,1,3,6,6,1,4,202892,2005,240052,2,556,3,187885,2,173401,175202,20,277500
36,239948,191004,108,13418,1,1,180183,1,179956,185763,210051,8,5,2004,2005,171483,179803,213732,214432,265583,132,2,3,225230,4,3,3,0,0,1117,1117,4,1,1320,2452,4,1,2,9,6,1,4,254751,2004,240052,3,691,3,187885,2,173401,175202,35,309000
37,185224,191004,112,10859,1,1,180183,1,179956,185763,175985,5,5,1994,1995,171483,179803,213732,214432,156221,0,1,3,225230,3,3,1,0,0,1097,1097,4,1,0,1097,3,1,1,6,6,0,1,202892,1995,142156,2,672,3,187885,2,173401,175202,15,145000
38,185224,191004,74,8532,1,1,180183,1,179956,185763,175985,5,6,1954,1990,218876,179803,149841,148386,204691,650,1,3,149805,2,3,1,1213,0,84,1297,3,1,0,1297,3,1,1,5,6,1,3,202892,1954,240052,2,498,3,187885,2,173401,175202,10,153000
39,185224,191004,68,7922,1,1,180183,1,179956,185763,175985,5,7,1953,2007,171483,179803,213732,214432,156221,0,1,2,149805,2,3,1,731,0,326,1057,2,1,0,1057,3,1,2,5,6,0,1,134091,1953,142156,1,246,3,187885,2,173401,146526,10,109000
40,133541,191004,65,6040,1,1,180183,1,179956,133541,175985,4,5,1955,1955,171483,179803,107385,168112,156221,0,1,3,225230,0,1,0,0,0,0,0,2,0,0,1152,2,2,0,6,6,0,1,103317,1980,103317,0,0,1,103317,0,173401,107767,20,82000
41,185224,191004,84,8658,1,1,180183,1,179956,185763,175985,6,5,1965,1965,171483,179803,149841,148386,204691,101,1,3,149805,2,3,1,643,0,445,1088,4,1,0,1324,3,1,1,6,6,1,3,202892,1965,202068,2,440,3,187885,2,173401,146526,20,160000
42,185224,191004,115,16905,1,1,180183,1,179956,185763,175985,5,6,1959,1959,171483,179803,213732,214432,156221,0,1,2,149805,2,3,4,967,0,383,1350,3,1,0,1328,2,1,1,5,6,2,4,202892,1959,202068,1,308,3,187885,1,173401,175202,15,170000
43,147810,191004,69,9180,1,0,180183,1,179956,185763,135074,5,7,1983,1983,171483,179803,163077,167661,156221,0,1,3,149805,3,3,3,747,93,0,840,3,1,0,884,2,1,2,5,6,0,1,202892,1983,202068,2,504,3,179930,2,173401,175202,10,144000
44,185224,191004,69,9200,1,0,180183,1,179956,185763,175985,5,6,1975,1980,218876,179803,213732,214432,156221,0,1,3,149805,3,3,3,280,491,167,938,2,1,0,938,3,1,1,5,6,0,1,134091,1977,142156,1,308,3,187885,2,173401,175202,10,130250
45,185224,191004,70,7945,1,1,180183,1,179956,185763,175985,5,6,1959,1959,171483,179803,194573,148386,156221,0,1,3,149805,2,3,1,179,506,465,1150,4,1,0,1150,3,1,1,6,6,0,1,202892,1959,202068,1,300,3,187885,2,173401,175202,10,141000
46,200779,191004,61,7658,1,1,180183,1,179956,181959,175985,9,5,2005,2005,218876,179803,149422,149803,204691,412,3,3,225230,4,3,1,456,0,1296,1752,4,1,0,1752,2,1,3,6,6,1,4,202892,2005,202068,2,576,3,187885,2,173401,175202,20,319900
47,143302,191004,48,12822,1,0,180183,1,179956,185763,143116,7,5,2003,2003,171483,179803,213732,214432,156221,0,2,3,225230,4,3,1,1351,0,83,1434,4,1,631,2149,1,1,2,6,6,1,5,202892,2003,202068,2,670,3,187885,2,173401,146526,15,239686
48,185224,214014,84,11096,1,1,180183,1,179956,185763,175985,8,5,2006,2006,171483,179803,213732,214432,156221,0,2,3,225230,3,3,3,24,0,1632,1656,4,1,0,1656,3,1,2,7,6,0,1,202892,2006,202068,3,826,3,187885,2,173401,175202,20,249700
49,129613,126316,33,4456,1,1,180183,1,179956,128432,210051,4,5,1920,2008,171483,179803,149422,149803,156221,0,1,3,132291,2,3,1,0,0,736,736,3,1,716,1452,2,3,1,8,6,0,1,103317,1980,103317,0,0,1,103317,0,274945,272291,20,113000
50,185224,191004,66,7742,1,1,180183,1,179956,185763,175985,5,7,1966,1966,171483,179803,163077,167661,156221,0,1,3,149805,2,3,1,763,0,192,955,4,1,0,955,3,1,1,6,6,0,1,202892,1966,142156,1,386,3,187885,2,173401,175202,10,127000
51,239948,191004,69,13869,1,0,180183,1,179956,185763,210051,6,6,1997,1997,171483,179803,213732,214432,156221,0,1,3,225230,3,3,3,182,0,612,794,3,1,676,1470,3,1,1,6,6,0,1,202892,1997,240052,2,388,3,187885,2,173401,175202,20,177000
52,143302,126316,52,6240,1,1,180183,1,179956,185763,143116,6,6,1934,1950,171483,179803,149841,148386,156221,0,1,3,225230,2,3,1,0,0,816,816,2,1,0,1176,3,1,1,6,6,1,4,134091,1985,142156,2,528,3,187885,2,173401,175202,10,114500
53,133541,126316,110,8472,0,0,143104,1,196734,133541,175985,5,5,1963,1963,171483,179803,149841,148386,156221,0,0,3,149805,3,3,4,104,712,0,816,2,0,0,816,2,1,1,5,6,0,1,109985,1963,142156,2,516,3,187885,2,173401,175202,10,110000
54,185224,191004,68,50271,1,0,203661,1,179956,185763,175985,9,5,1981,1987,171483,388848,150655,161328,156221,0,2,3,149805,4,3,4,1810,0,32,1842,3,1,0,1842,0,1,2,5,6,1,4,202892,1981,240052,3,894,3,187885,2,173401,175202,5,385000
55,169736,191004,60,7134,1,1,143104,1,196734,185763,166703,5,5,1955,1955,171483,179803,149422,149803,156221,0,1,3,149805,2,3,1,384,0,0,384,2,1,0,1360,3,1,1,6,3,1,3,134091,1962,142156,2,572,3,187885,2,173401,175202,10,130000
56,185224,191004,100,10175,1,0,180183,1,179956,185763,175985,6,5,1964,1964,171483,179803,163077,168112,204691,272,1,3,149805,2,3,1,490,0,935,1425,3,1,0,1425,3,1,1,7,6,1,4,202892,1964,202068,2,576,3,187885,2,173401,175202,20,180500
57,138647,214014,24,2645,1,1,180183,1,179956,135911,210051,8,5,1999,2000,171483,179803,149422,149803,204691,456,2,3,225230,3,3,1,649,0,321,970,4,1,756,1739,3,1,2,7,6,0,1,202892,1999,240052,2,480,3,187885,2,173401,146526,25,172500
58,239948,191004,89,11645,1,0,180183,1,179956,185763,210051,7,5,2004,2004,171483,179803,213732,214432,156221,0,2,3,225230,3,3,1,0,0,860,860,4,1,860,1720,3,1,2,7,6,0,1,202892,2004,202068,2,565,3,187885,2,173401,175202,25,196500
59,239948,191004,66,13682,1,0,231533,1,179956,185763,210051,10,5,2006,2006,218876,179803,213732,214432,204691,1031,3,3,225230,4,3,4,0,0,1410,1410,4,1,1519,2945,3,1,2,10,6,1,4,254751,2006,240052,3,641,3,187885,2,274945,272291,35,438780
60,185224,191004,60,7200,1,1,143104,1,179956,185763,175985,5,7,1972,1972,171483,179803,163077,167661,156221,0,1,3,149805,2,3,3,632,0,148,780,4,1,0,780,2,1,1,4,6,0,1,134091,1973,142156,1,352,3,187885,2,173401,175202,10,124900
61,185224,191004,63,13072,1,1,180183,1,179956,185763,175985,6,5,2004,2004,171483,179803,213732,214432,156221,0,1,3,225230,3,3,1,941,0,217,1158,4,1,0,1158,3,1,2,5,6,0,1,134091,2006,142156,2,576,3,187885,2,274945,272291,15,158000
62,192437,126316,60,7200,1,1,180183,1,179956,185763,157355,5,7,1920,1996,171483,179803,149422,149803,156221,0,1,3,132291,2,2,1,0,0,530,530,2,0,530,1111,3,1,0,6,6,0,1,134091,1935,142156,1,288,3,187885,0,173401,175202,10,101000
63,200779,191004,44,6442,1,0,180183,1,179956,181959,175985,8,5,2006,2006,171483,179803,213732,214432,265583,178,2,3,225230,3,4,2,24,0,1346,1370,4,1,0,1370,2,1,2,6,6,1,4,202892,2006,202068,2,484,3,187885,2,173401,175202,20,202500
64,166772,126316,50,10300,1,0,143104,1,179956,185763,210051,7,6,1921,1950,171483,179803,162990,155905,156221,0,1,3,132291,2,3,1,0,0,576,576,3,1,808,1710,3,1,1,9,6,0,1,134091,1990,142156,2,480,3,187885,2,173401,175202,20,140000
65,239948,191004,69,9375,1,1,180183,1,179956,185763,210051,7,5,1997,1998,171483,179803,213732,214432,204691,573,1,3,225230,3,3,1,739,0,318,1057,4,1,977,2034,3,1,2,8,6,0,1,202892,1998,202068,2,645,3,187885,2,173401,175202,25,219500
66,239948,191004,76,9591,1,1,180183,1,179956,185763,210051,8,5,2004,2005,171483,179803,213732,214432,204691,344,2,3,225230,4,3,3,0,0,1143,1143,4,1,1330,2473,4,1,2,9,6,1,4,254751,2004,202068,3,852,3,187885,2,173401,175202,25,317000
67,185224,191004,69,19900,1,1,180183,1,179956,185763,175985,7,5,1970,1989,171483,179803,175942,168112,204691,287,1,3,149805,3,3,4,912,0,1035,1947,2,1,0,2207,3,1,1,7,3,1,4,202892,1970,202068,2,576,3,187885,2,173401,175202,20,180000
68,185224,191004,72,10665,1,0,180183,1,179956,185763,175985,7,5,2003,2003,171483,179803,213732,214432,204691,167,2,3,225230,3,3,3,1013,0,440,1453,4,1,0,1479,3,1,2,7,6,0,1,202892,2003,202068,2,558,3,187885,2,173401,175202,20,226000
69,95829,126316,47,4608,1,1,180183,1,179956,185763,175985,4,6,1945,1950,171483,179803,149422,149803,156221,0,1,2,149805,2,3,1,0,0,747,747,2,1,0,747,2,1,1,4,6,0,1,202892,1945,142156,1,220,3,187885,2,173401,175202,10,80000
70,143302,191004,81,15593,1,1,180183,1,179956,185763,143116,7,4,1953,1953,171483,179803,194573,114060,156221,0,2,3,149805,2,3,1,603,0,701,1304,2,1,983,2287,3,1,1,7,6,1,3,202892,1953,240052,2,667,3,187885,2,173401,175202,20,225000
71,185224,191004,95,13651,1,0,180183,1,179956,185763,175985,7,6,1973,1973,171483,179803,175942,168112,204691,1115,1,2,149805,3,3,4,1880,0,343,2223,4,1,0,2223,3,1,1,8,6,2,4,202892,1973,240052,2,516,3,187885,2,173401,175202,20,244000
72,185224,191004,69,7599,1,1,180183,1,179956,185763,175985,4,6,1982,2006,171483,179803,163077,168112,156221,0,1,3,149805,2,3,1,565,0,280,845,2,1,0,845,2,1,1,4,6,0,1,134091,1987,142156,2,360,3,187885,2,173401,175202,10,129500
73,239948,191004,74,10141,1,0,180183,1,179956,185763,210051,7,5,1998,1998,171483,179803,213732,214432,204691,40,1,3,225230,3,3,1,0,0,832,832,3,1,833,1718,3,1,1,7,6,1,3,202892,1998,240052,2,427,3,187885,2,173401,175202,25,185000
74,185224,191004,85,10200,1,1,180183,1,179956,185763,175985,5,7,1954,2003,171483,179803,149841,148386,204691,104,1,3,149805,2,3,1,320,362,404,1086,3,1,0,1086,3,1,1,6,6,0,1,202892,1989,142156,2,490,3,187885,2,173401,175202,10,144900
75,143302,126316,60,5790,1,1,180183,1,179956,185763,210051,3,6,1915,1950,148910,179803,213732,214432,156221,0,2,2,149805,1,3,1,0,0,840,840,3,0,765,1605,3,2,1,8,6,0,1,134091,1915,142156,1,379,3,187885,2,173401,175202,20,107400
76,102309,126316,21,1596,1,1,180183,1,179956,135911,166703,4,5,1973,1973,171483,179803,231690,230093,156221,0,1,3,149805,3,3,4,462,0,0,462,2,1,462,988,2,1,1,5,6,0,1,254751,1973,142156,1,297,3,187885,2,173401,175202,10,91000
77,185224,191004,69,8475,1,0,180183,1,179956,185763,175985,4,7,1956,1956,171483,179803,213732,214432,156221,0,1,3,149805,2,3,1,228,0,724,952,4,1,0,952,2,1,1,4,6,0,1,134091,1956,142156,1,283,3,187885,2,173401,175202,10,135750
78,143302,126316,50,8635,1,1,180183,1,179956,185763,143116,5,5,1948,2001,171483,179803,149841,148386,156221,0,1,3,149805,2,3,1,336,41,295,672,2,1,213,1285,2,1,1,6,3,0,1,134091,1948,142156,1,240,3,187885,2,173401,175202,10,127000
79,133541,191004,72,10778,1,1,180183,1,179956,133541,175985,4,5,1968,1968,218876,179803,163077,167661,156221,0,1,3,149805,2,3,1,0,0,1768,1768,2,0,0,1768,4,2,1,8,6,0,1,103317,1980,103317,0,0,1,103317,2,173401,175202,20,136500
80,143302,126316,60,10440,1,1,180183,1,179956,185763,210051,5,6,1910,1981,171483,179803,149841,148386,156221,0,1,3,225230,2,3,1,0,0,440,440,3,1,548,1230,2,1,1,5,6,0,1,134091,1966,142156,2,440,3,187885,2,173401,175202,15,110000
81,239948,191004,100,13000,1,1,180183,1,179956,185763,210051,6,6,1968,1968,171483,179803,213732,214432,204691,576,1,2,149805,3,3,1,448,0,448,896,2,1,960,2142,4,1,2,8,6,1,4,202892,1968,240052,1,509,3,187885,2,173401,175202,25,193500
82,200779,126316,32,4500,1,1,180183,1,179956,181959,175985,6,5,1998,1998,218876,179803,213732,214432,204691,443,1,2,225230,4,4,1,1201,0,36,1237,4,1,0,1337,2,1,1,5,6,0,1,202892,1998,240052,2,405,3,187885,2,173401,175202,20,153500
83,185224,191004,78,10206,1,1,180183,1,179956,185763,175985,8,5,2007,2007,171483,179803,213732,214432,265583,468,1,3,225230,3,3,1,33,0,1530,1563,4,1,0,1563,3,1,2,6,6,1,4,202892,2007,202068,3,758,3,187885,2,173401,175202,20,245000
84,185224,191004,80,8892,1,0,180183,1,179956,185763,175985,5,5,1960,1960,171483,179803,149422,149803,146318,66,1,3,149805,2,3,1,0,0,1065,1065,3,1,0,1065,3,1,1,6,6,0,1,134091,1974,142156,2,461,3,187885,2,143973,175202,15,126500
85,169736,191004,69,8530,1,0,180183,1,179956,185763,166703,7,5,1995,1996,171483,179803,163077,167661,204691,22,1,3,225230,3,3,1,0,0,384,384,3,1,670,1474,3,1,1,7,6,1,3,254751,1995,240052,2,400,3,187885,2,173401,175202,25,168500
86,239948,191004,121,16059,1,1,180183,1,179956,185763,210051,8,5,1991,1992,218876,179803,163077,167661,204691,284,2,3,149805,3,3,1,0,0,1288,1288,4,1,1116,2417,4,1,2,9,6,1,3,202892,1991,142156,2,462,3,187885,2,173401,175202,25,260000
87,239948,191004,122,11911,1,0,180183,1,179956,185763,210051,6,5,2005,2005,171483,179803,213732,214432,156221,0,2,3,225230,3,3,3,0,0,684,684,4,1,876,1560,3,1,2,6,6,1,4,254751,2005,240052,2,400,3,187885,2,173401,175202,25,174000
88,138647,214014,40,3951,1,1,180183,1,179956,181959,210051,6,5,2009,2009,171483,179803,213732,214432,265583,76,2,3,225230,3,3,3,0,0,612,612,4,1,612,1224,2,1,2,4,6,0,1,134091,2009,202068,2,528,3,187885,2,274945,272291,25,164500
89,143302,74541,105,8470,1,0,180183,1,179956,185763,143116,3,2,1915,1982,218876,179803,175942,168112,156221,0,0,1,149805,2,2,1,0,0,1013,1013,2,0,0,1526,2,1,0,6,6,0,1,103317,1980,103317,0,0,1,103317,0,138795,146526,10,85000
90,185224,191004,60,8070,1,1,180183,1,179956,185763,175985,4,5,1994,1995,171483,179803,213732,214432,156221,0,1,3,225230,3,3,1,588,0,402,990,4,1,0,990,3,1,1,5,6,0,1,103317,1980,103317,0,0,1,103317,2,173401,175202,10,123600
91,185224,191004,60,7200,1,1,180183,1,179956,185763,175985,4,5,1950,1950,171483,179803,194573,148386,156221,0,1,3,107365,0,1,0,0,0,0,0,2,1,0,1040,2,1,1,4,6,0,1,134091,1950,142156,2,420,3,187885,2,173401,175202,10,109900
92,185224,191004,85,8500,1,1,180183,1,179956,185763,175985,5,3,1961,1961,218876,179803,163077,167661,146318,203,1,3,149805,2,3,1,600,0,635,1235,2,1,0,1235,2,1,1,6,6,0,1,202892,1961,142156,2,480,3,187885,2,173401,146526,10,98600
93,95829,191004,80,13360,1,0,231533,1,179956,185763,175985,5,7,1921,2006,171483,179803,149841,148386,156221,0,1,2,132291,3,3,1,713,0,163,876,4,1,0,964,2,1,1,5,6,0,1,134091,1921,142156,2,432,3,187885,2,173401,175202,10,163500
94,129613,74541,60,7200,1,1,180183,1,179956,128432,157355,6,6,1910,1998,218876,179803,149422,149803,156221,0,1,3,132291,2,2,2,1046,0,168,1214,4,0,1031,2291,4,2,1,9,6,1,4,134091,1900,142156,2,506,3,187885,2,173401,175202,20,133900
95,239948,191004,69,9337,1,0,180183,1,179956,185763,210051,6,5,1997,1997,171483,179803,213732,214432,156221,0,1,2,225230,3,3,1,648,0,176,824,4,1,881,1786,3,1,2,7,6,0,1,202892,1997,202068,2,684,3,187885,2,173401,175202,25,204750
96,239948,191004,69,9765,1,0,180183,1,179956,185763,210051,6,8,1993,1993,171483,179803,213732,214432,204691,68,3,2,225230,3,4,1,310,0,370,680,3,1,790,1470,3,1,1,6,6,1,3,254751,1993,240052,2,420,3,187885,2,173401,175202,25,185000
97,185224,191004,78,10264,1,0,180183,1,179956,185763,175985,7,5,1999,1999,171483,179803,213732,214432,204691,183,2,3,225230,3,3,3,1162,0,426,1588,4,1,0,1588,3,1,2,6,6,0,1,202892,1999,202068,2,472,3,187885,2,173401,175202,20,214000
98,185224,191004,73,10921,1,1,231533,1,179956,185763,175985,4,5,1965,1965,218876,179803,163077,167661,204691,48,1,3,149805,2,3,1,520,0,440,960,2,1,0,960,3,1,1,6,6,0,1,202892,1965,240052,1,432,3,187885,1,173401,175202,10,94750
99,95829,191004,85,10625,1,1,180183,1,179956,185763,175985,5,5,1920,1950,171483,179803,149841,148386,156221,0,1,3,132291,2,3,1,108,0,350,458,1,0,0,835,2,1,1,5,6,0,1,160570,1920,142156,1,366,2,187885,2,143973,146526,10,83000
